price,bedRoom,bathroom,balcony,floorNum,agePossession,Location,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category
45.0,2.0,2.0,1.0,4.0,Relatively New,sector 7,0,0,0,0,1080.0,Unfurnished,Semi Luxurious
50.0,2.0,2.0,1.0,1.0,Old Property,sector 3,0,0,0,0,780.0,Fully Furnished,Semi Luxurious
40.0,2.0,2.0,3.0,12.0,New Property,sohna,0,0,0,0,714.0,Unfurnished,Not Luxurious
147.0,2.0,2.0,2.0,2.0,Under Construction,sector 61,0,1,0,0,1440.0,Unfurnished,Semi Luxurious
70.0,2.0,2.0,3.0,5.0,Under Construction,sector 92,0,1,0,0,1076.0,Unfurnished,Not Luxurious
41.0,2.0,2.0,3.0,3.0,Relatively New,sector 36,0,0,0,0,654.0,Unfurnished,Not Luxurious
200.0,3.0,3.0,3.0,5.0,New Property,multiple sectors,0,0,0,0,1200.0,Unfurnished,Not Luxurious
180.0,3.0,4.0,3.0,14.0,New Property,sector 104,0,0,0,0,2748.0,Unfurnished,Not Luxurious
110.0,2.0,4.0,3.0,2.0,Under Construction,sector 88,0,1,0,0,1350.0,Unfurnished,Not Luxurious
475.0,3.0,3.0,2.0,31.0,Under Construction,sector 78,1,0,0,0,2813.0,Unfurnished,Semi Luxurious
96.0,2.0,2.0,2.0,1.0,Under Construction,sector 81,0,0,0,0,1290.0,Unfurnished,Semi Luxurious
29.0,2.0,2.0,1.0,4.0,Relatively New,sohna,0,0,0,0,622.8,Unfurnished,Semi Luxurious
135.0,3.0,3.0,3.0,4.0,Relatively New,sector 79,0,0,0,0,2334.0,Unfurnished,Not Luxurious
95.0,2.0,2.0,3.0,3.0,Under Construction,sector 33,0,0,0,0,1108.0,Unfurnished,Not Luxurious
70.0,2.0,2.0,3.0,13.0,New Property,sector 90,0,1,0,0,1040.0,Unfurnished,Not Luxurious
395.0,4.0,5.0,3.0,25.0,Relatively New,sector 108,0,0,0,0,2343.0,Unfurnished,Not Luxurious
90.0,1.0,1.0,0.0,0.0,Relatively New,sector 62,0,0,0,0,639.0,Unfurnished,Not Luxurious
105.0,2.0,2.0,2.0,0.0,Under Construction,sector 102,0,0,0,0,1098.0,Unfurnished,Semi Luxurious
220.00000000000003,3.0,3.0,3.0,12.0,New Property,sohna,1,0,0,0,1680.0,Unfurnished,Semi Luxurious
101.0,2.0,2.0,2.0,4.0,Under Construction,sector 89,0,1,0,0,1323.6,Unfurnished,Not Luxurious
185.0,3.0,4.0,3.0,11.0,New Property,sector 79,1,0,0,0,1720.0,Fully Furnished,Semi Luxurious
86.0,2.0,3.0,3.0,4.0,Under Construction,sector 89,0,0,0,0,882.4000000000001,Unfurnished,Not Luxurious
185.0,3.0,3.0,3.0,0.0,Relatively New,sector 102,1,0,0,0,2430.0,Fully Furnished,Luxurious
285.0,3.0,3.0,3.0,10.0,New Property,sector 113,1,0,0,0,1773.6,Unfurnished,Semi Luxurious
42.0,2.0,2.0,1.0,3.0,Relatively New,sector 36,0,0,0,0,637.2,Unfurnished,Not Luxurious
615.0,3.0,4.0,2.0,20.0,Relatively New,sector 65,0,0,0,0,3355.0,Unfurnished,Not Luxurious
