price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
45.0,2.0,2.0,1.0,4.0,Relatively New,sector 7,0,0,0,0,1080.0,Unfurnished,Semi Luxurious,28.4644° N, 77.0143° E
50.0,2.0,2.0,1.0,1.0,Old Property,sector 3,0,0,0,0,780.0,Fully Furnished,Semi Luxurious,28.4909° N, 77.0176° E
40.0,2.0,2.0,3.0,12.0,New Property,sohna,0,0,0,0,714.0,Unfurnished,Not Luxurious,28.2470° N, 77.0650° E
147.0,2.0,2.0,2.0,2.0,Under Construction,sector 61,0,1,0,0,1440.0,Unfurnished,Semi Luxurious,28.4050° N, 77.0963° E
70.0,2.0,2.0,3.0,5.0,Under Construction,sector 92,0,1,0,0,1076.0,Unfurnished,Not Luxurious,28.4079° N, 76.9153° E
41.0,2.0,2.0,3.0,3.0,Relatively New,sector 36,0,0,0,0,654.0,Unfurnished,Not Luxurious,28.4160° N, 76.9914° E
180.0,3.0,4.0,3.0,14.0,New Property,sector 104,0,0,0,0,2748.0,Unfurnished,Not Luxurious,28.4788° N, 76.9960° E
110.0,2.0,4.0,3.0,2.0,Under Construction,sector 88,0,1,0,0,1350.0,Unfurnished,Not Luxurious,28.4220° N, 76.9571° E
475.0,3.0,3.0,2.0,31.0,Under Construction,sector 78,1,0,0,0,2813.0,Unfurnished,Semi Luxurious,28.3733° N, 76.9729° E
96.0,2.0,2.0,2.0,1.0,Under Construction,sector 81,0,0,0,0,1290.0,Unfurnished,Semi Luxurious,28.3867° N, 76.9485° E
29.0,2.0,2.0,1.0,4.0,Relatively New,sohna,0,0,0,0,622.8,Unfurnished,Semi Luxurious,28.2470° N, 77.0650° E
135.0,3.0,3.0,3.0,4.0,Relatively New,sector 79,0,0,0,0,2334.0,Unfurnished,Not Luxurious,28.3624° N, 76.9787° E
95.0,2.0,2.0,3.0,3.0,Under Construction,sector 33,0,0,0,0,1108.0,Unfurnished,Not Luxurious,28.4420° N, 77.0207° E
